时间,电压(V),电流(A),D+(V),D-(V),时间文本,总功耗(W)
1900-01-01 16:24:17,5.11,0.97,0.11,0.84,16:24:17,4.9567000000000005
1900-01-01 16:24:18,5.11,0.96,0.11,0.84,16:24:18,4.9056
1900-01-01 16:24:19,5.13,0.97,0.11,0.84,16:24:19,4.9761
1900-01-01 16:24:20,5.12,0.97,0.11,0.84,16:24:20,4.9664
1900-01-01 16:24:21,5.1,0.97,0.11,0.84,16:24:21,4.946999999999999
1900-01-01 16:24:22,5.12,0.28,0.09,0.77,16:24:22,1.4336000000000002
1900-01-01 16:24:23,5.12,0.26,0.1,0.77,16:24:23,1.3312000000000002
1900-01-01 16:24:24,5.11,0.38,0.1,0.78,16:24:24,1.9418000000000002
1900-01-01 16:24:25,5.12,0.21,0.09,0.76,16:24:25,1.0752
1900-01-01 16:24:26,5.12,0.35,0.09,0.77,16:24:26,1.7919999999999998
1900-01-01 16:24:27,5.13,0.28,0.09,0.77,16:24:27,1.4364000000000001
1900-01-01 16:24:28,5.12,0.5,0.1,0.79,16:24:28,2.56
1900-01-01 16:24:29,5.1,0.5,0.1,0.79,16:24:29,2.55
1900-01-01 16:24:30,5.12,0.65,0.1,0.81,16:24:30,3.3280000000000003
1900-01-01 16:24:31,5.12,0.7,0.1,0.82,16:24:31,3.5839999999999996
1900-01-01 16:24:32,5.13,0.96,0.11,0.84,16:24:32,4.924799999999999
1900-01-01 16:24:33,5.11,0.96,0.11,0.84,16:24:33,4.9056
1900-01-01 16:24:34,5.12,0.96,0.11,0.84,16:24:34,4.9152
1900-01-01 16:24:35,5.12,0.96,0.11,0.84,16:24:35,4.9152
1900-01-01 16:24:36,5.11,0.96,0.11,0.84,16:24:36,4.9056
1900-01-01 16:24:37,5.11,0.0,0.09,0.7,16:24:37,0.0
1900-01-01 16:24:38,5.11,0.27,0.09,0.77,16:24:38,1.3797000000000001
1900-01-01 16:24:39,5.12,0.25,0.09,0.77,16:24:39,1.28
1900-01-01 16:24:40,5.11,0.22,0.1,0.76,16:24:40,1.1242
1900-01-01 16:24:41,5.12,0.32,0.09,0.76,16:24:41,1.6384
1900-01-01 16:24:42,5.12,0.41,0.09,0.77,16:24:42,2.0991999999999997
1900-01-01 16:24:43,5.13,0.37,0.09,0.77,16:24:43,1.8981
1900-01-01 16:24:44,5.11,0.43,0.09,0.78,16:24:44,2.1973000000000003
1900-01-01 16:24:45,5.12,0.49,0.09,0.78,16:24:45,2.5088
1900-01-01 16:24:46,5.11,0.73,0.1,0.77,16:24:46,3.7303
1900-01-01 16:24:47,5.11,0.96,0.11,0.79,16:24:47,4.9056
1900-01-01 16:24:48,5.11,0.96,0.12,0.79,16:24:48,4.9056
1900-01-01 16:24:49,5.12,0.99,0.12,0.8,16:24:49,5.0688
1900-01-01 16:24:50,5.12,0.96,0.12,0.79,16:24:50,4.9152
1900-01-01 16:24:51,5.12,0.96,0.12,0.79,16:24:51,4.9152
1900-01-01 16:24:52,5.11,0.0,0.11,0.7,16:24:52,0.0
1900-01-01 16:24:53,5.12,0.0,0.09,0.71,16:24:53,0.0
1900-01-01 16:24:54,5.12,0.96,0.13,0.8,16:24:54,4.9152
1900-01-01 16:24:55,5.1,1.9,0.27,0.27,16:24:55,9.69
1900-01-01 16:24:56,5.11,1.86,0.26,0.26,16:24:56,9.504600000000002
1900-01-01 16:24:57,5.09,1.11,0.26,0.22,16:24:57,5.649900000000001
1900-01-01 16:24:58,5.13,1.22,0.19,0.21,16:24:58,6.2585999999999995
1900-01-01 16:24:59,5.13,1.82,0.26,0.26,16:24:59,9.3366
1900-01-01 16:25:00,5.12,1.81,0.26,0.26,16:25:00,9.2672
1900-01-01 16:25:01,5.12,1.63,0.24,0.26,16:25:01,8.3456
1900-01-01 16:25:02,5.11,1.76,0.26,0.26,16:25:02,8.9936
1900-01-01 16:25:03,5.12,1.76,0.25,0.26,16:25:03,9.0112
1900-01-01 16:25:04,5.11,1.76,0.25,0.25,16:25:04,8.9936
1900-01-01 16:25:05,5.12,1.76,0.26,0.26,16:25:05,9.0112
1900-01-01 16:25:06,5.12,1.77,0.25,0.26,16:25:06,9.0624
1900-01-01 16:25:07,5.12,1.76,0.26,0.26,16:25:07,9.0112
